"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R13,R13,R13,R13,R13,R13,R13,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"0";;;
2;"R11,R11,R11,R11,R11,R11,R11,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"130k";;;
3;"C2,C2,C2,C2,C2,C2,C2,C2";"C_Disc_D6.0mm_W2.5mm_P5.00mm";8;"47n";;;
4;"U2,U2,U2,U2,U2,U2,U2,U2";"DIP-8_W7.62mm";8;"AD620";;;
5;"R4,R3,R4,R3,R4,R3,R4,R3,R4,R3,R4,R3,R4,R3,R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";16;"24.9k";;;
6;"RV1,RV1,RV1,RV1,RV1,RV1,RV1,RV1";"Potentiometer_Piher_PC-16_Single_Horizontal";8;"1k";;;
7;"R12,R12,R12,R12,R12,R12,R12,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"18k";;;
8;"J3,J3,J3,J3,J3,J3,J3,J3";"PinHeader_1x02_P2.54mm_Vertical";8;"Conn_01x02";;;
9;"R8,R8,R8,R8,R8,R8,R8,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"91k";;;
10;"R9,R9,R9,R9,R9,R9,R9,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"47k";;;
11;"J4,J4,J4,J4,J4,J4,J4,J4";"PinHeader_2x04_P2.54mm_Vertical";8;"Conn_02x04_Counter_Clockwise";;;
12;"C5,C4,C5,C4,C5,C4,C5,C4,C5,C4,C5,C4,C5,C4,C4,C5";"C_Disc_D6.0mm_W2.5mm_P5.00mm";16;"47u";;;
13;"U1,U1,U1,U1,U1,U1,U1,U1";"DIP-14_W7.62mm";8;"Opamp_Quad_Generic";;;
14;"R1,R1,R1,R1,R1,R1,R1,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"1M";;;
15;"R2,R2,R2,R2,R2,R2,R2,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"10k";;;
16;"R6,R6,R6,R6,R6,R6,R6,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"18k";;;
17;"C1,C1,C1,C1,C1,C1,C1,C1";"C_Disc_D6.0mm_W2.5mm_P5.00mm";8;"100p";;;
18;"R10,R10,R10,R10,R10,R10,R10,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"0R";;;
19;"C3,C3,C3,C3,C3,C3,C3,C3";"C_Disc_D6.0mm_W2.5mm_P5.00mm";8;"100n";;;
20;"C6,C6,C6,C6,C6,C6,C6,C6";"C_Disc_D6.0mm_W2.5mm_P5.00mm";8;"47u";;;
21;"J1,J1,J1,J1,J1,J1,J1,J1";"PinHeader_1x04_P2.54mm_Vertical";8;"Conn_01x04";;;
22;"R5,R5,R5,R5,R5,R5,R5,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"75R";;;
23;"R7,R7,R7,R7,R7,R7,R7,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"30k";;;
